vacancy,salary,href_link,city,worker,date
Кассир в Додо Пиццу с обучением,47 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kassir-v-dodo-piccu-s-obucheniem-102305850.html?source=extended-feed,во Владивостоке,ИП Троян Д.В. Улица Калинина 8,04.10.2023
Кассир в Додо Пиццу с обучением,от 47 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kassir-v-dodo-piccu-s-obucheniem-111153680.html?source=extended-feed,во Владивостоке,ИП Троян Д.В. Улица Космонавтов 1 стр. 2,04.10.2023
Кассир в Додо Пиццу с обучением,от 47 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/kassir-v-dodo-piccu-s-obucheniem-101479364.html?source=extended-feed,в Уссурийске,ИП Троян Д.В. Улица Комсомольская 28,04.10.2023
Повар в Додо Пиццу с обучением,от 44 000₽,https://www.farpost.ru/nakhodka/rabota/vacansii/povar-v-dodo-piccu-s-obucheniem-102305843.html?source=extended-feed,в Находке,ИП Троян Д.В. Проспект Находкинский 36,04.10.2023
"Уборщик, ночной сотрудник",от 45 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/uborshik-nochnoj-sotrudnik-113408240.html?source=extended-feed,во Владивостоке,ИП Троян Д.В. Улица Некрасовская 61а,04.10.2023
"КУРЬЕР НА КОРОТКИЕ ПОСЫЛКИ ДО 2 КГ (оплачиваем сразу, свободный график)",90 334 – 126 233₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/kurjer-na-korotkie-posylki-do-2-kg-oplachivaem-srazu-svobodnyj-grafik-109678528.html?source=extended-feed,в Хабаровске,"ООО""ЯНДЕКС.ЕДА"". Улица Шеронова 2 кор. 5",04.10.2023
Курьер (подработка с ежедневной оплатой),46 500 – 92 400₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/kurjer-podrabotka-s-ezhednevnoj-oplatoj-113107689.html?source=extended-feed,в Хабаровске,"...). •Выплаты ежедневные, без комиссий парку и с заказов. ООО ""Яндекс.Еда"" Доставка клиентам лёгких заказов, до 3 кг! Вы только доставляете! ...ООО ""Яндекс.Еда""",04.10.2023
Курьер СРОЧНО (подработка с ежедневной оплатой),46 500 – 92 400₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/kurjer-srochno-podrabotka-s-ezhednevnoj-oplatoj-113309935.html?source=extended-feed,в Хабаровске,"... и бонусы для курьеров, плюс чаевые от клиентов. ООО ""Яндекс.Еда"" Доставка клиентам лёгких заказов, до 3 кг! Вы только доставляете! ...ООО ""Яндекс.Еда""",04.10.2023
"ВЕЧЕРНИЙ КУРЬЕР лёгко-коротких посылок на 1-3 часа (подработка) Платим каждый день, со своей одеждой",90 334 – 176 233₽,https://www.farpost.ru/vladivostok/rabota/vacansii/vechernij-kurjer-legko-korotkih-posylok-na-1-3-chasa-podrabotka-platim-kazhdyj-den-so-svoej-odezhdoj-109760387.html?source=extended-feed,во Владивостоке,"ООО""ЯНДЕКС.ЕДА"". Улица Комсомольская 10в",04.10.2023
Курьер пеший/авто курьер/вело курьер.(График свободный) выплаты каждый день.,50 000 – 65 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/kurjer-peshij-avto-kurjer-velo-kurjer-grafik-svobodnyj-vyplaty-kazhdyj-den-97238278.html?source=extended-feed,в Хабаровске,"Привет !! Яндекс.Еда - удобный онлайн сервис, позволяющий заказать еду из ресторанов. Становись нашим ...: — Доставка заказов из ресторанов ИП Ларина Н.А. (партнёр Яндекс.Еда) улица Шеронова 2 кор. 5 Доставка еды из ресторанов. ...ИП Ларина Н.А. (партнёр Яндекс.Еда). Улица Шеронова 2 кор. 5",04.10.2023
