vacancy,salary,href_link,city,worker,date
"Мойщик, уборщик в ресторан (ночной сотрудник)",до 50 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/mojshik-uborshik-v-restoran-nochnoj-sotrudnik-113722987.html?source=extended-feed,во Владивостоке,"ООО ""ГудФуд ДВ"". Улица Адмирала Горшкова 40 стр. 5",04.10.2023
Бухгалтер на первичную документацию,49 400 – 55 100₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/buhgalter-na-pervichnuju-dokumentaciju-113838474.html?source=extended-feed,в Хабаровске,"ООО ""ГудФуд Ресторантс"". Улица Ким Ю Чена 44о",04.10.2023
Специалист(Инженер) по пожарной безопасности,65 000 – 70 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/specialist-inzhener-po-pozharnoj-bezopasnosti-93241621.html?source=extended-feed,во Владивостоке,"ООО ""ГудФуд ДВ"". Проспект Красного Знамени 82в",04.10.2023
Администратор зала / хостес в итальянский ресторан,от 38 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/administrator-zala-hostes-v-italjanskij-restoran-102826589.html?source=extended-feed,во Владивостоке,"ООО ""Фортуна"". Улица Калинина 8",04.10.2023
Курьер (подработка),до 201 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kurjer-podrabotka-112655394.html,,"ООО ""Инстамарт Сервис"". Улица Терешковой 26б",04.10.2023
Водитель-курьер (подработка),до 201 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/voditel-kurjer-podrabotka-112655642.html,,"ООО ""Инстамарт Сервис"". Проспект Океанский 52а",04.10.2023
Курьер на машине,до 201 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kurjer-na-mashine-112655700.html,,"ООО ""Инстамарт Сервис"". Проспект 100-летия Владивостока 40",04.10.2023
Курьер,до 201 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kurjer-112655733.html,,"ООО ""Инстамарт Сервис"". Улица Анны Щетининой 21",04.10.2023
Курьер (подработка),до 201 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kurjer-podrabotka-112655752.html,,"ООО ""Инстамарт Сервис"". Улица Черняховского 5",04.10.2023
Сборщик-курьер,70 000 – 100 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/sborshik-kurjer-103737076.html,,"ООО ""Инстамарт Сервис"". Улица Жигура 48б",04.10.2023
Водитель курьер,45 000 – 55 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/voditel-kurjer-102691195.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Улица Дзержинского 43",04.10.2023
Сборщик-курьер,35 000 – 55 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/sborshik-kurjer-102691128.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Улица Дзержинского 43",04.10.2023
Пеший курьер,35 000 – 65 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/peshij-kurjer-102691000.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Улица Дзержинского 43",04.10.2023
Водитель курьер,35 000 – 60 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/voditel-kurjer-102691492.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Крыгина д 16",04.10.2023
Водитель-курьер,35 000 – 55 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/voditel-kurjer-102691251.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Улица Дзержинского 43",04.10.2023
Пеший курьер,35 000 – 45 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/peshij-kurjer-102691437.html,,"ООО ""Инстамарт Сервис"". Улица Станюковича 12",04.10.2023
Сборщик-курьер,30 000 – 45 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/sborshik-kurjer-102691333.html,,"ООО ""Инстамарт Сервис"". Улица Крыгина 16",04.10.2023
Курьер,35 000 – 60 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/kurjer-99122831.html,,"ООО ""Инстамарт Сервис"". Улица Калинина 2",04.10.2023
Курьер,35 000 – 80 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/kurjer-97166414.html,в Хабаровске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Трёхгорная 98",04.10.2023
Водитель-курьер,45 000 – 65 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/voditel-kurjer-98094958.html,,"ООО ""Инстамарт Сервис"". Улица Крыгина 23",04.10.2023
Водитель-курьер,55 000 – 65 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/voditel-kurjer-90019373.html,,"ООО ""Инстамарт Сервис"". Улица Русская 2к",04.10.2023
Водитель курьер,45 000 – 65 000₽,https://www.farpost.ru/artem/rabota/vacansii/voditel-kurjer-95321827.html,в Артеме,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Фрунзе 2в",04.10.2023
Водитель курьер,55 000 – 75 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/voditel-kurjer-95325000.html,в Хабаровске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Волочаевская 163",04.10.2023
Водитель курьер,45 000 – 65 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/voditel-kurjer-90020781.html,в Хабаровске,"ООО ""Инстамарт Сервис"" , СберМаркет. Улица Краснореченская 90",04.10.2023
Курьер,55 000 – 85 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/kurjer-97478947.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Улица Карла Маркса 202",04.10.2023
Сборщики курьер,30 000 – 100 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/sborshiki-kurjer-97163686.html,в Хабаровске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Суворова 25",04.10.2023
Водитель-курьер,55 000 – 75 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/voditel-kurjer-92129953.html,в Хабаровске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Трёхгорная 98",04.10.2023
Авто-курьер на доставку заказов,45 000 – 60 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/avto-kurjer-na-dostavku-zakazov-98305372.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Переулок Кадровый 8",04.10.2023
Авто-курьер на доставку заказов,45 000 – 60 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/avto-kurjer-na-dostavku-zakazov-98305356.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Улица Демьяна Бедного 25",04.10.2023
Авто-курьер на доставку заказов,45 000 – 60 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/avto-kurjer-na-dostavku-zakazov-98305323.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Улица Волочаевская 9а",04.10.2023
Водитель курьер,45 000 – 60 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/voditel-kurjer-98305300.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Улица Морозова Павла Леонтьевича 122а",04.10.2023
Водитель курьер,45 000 – 60 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/voditel-kurjer-98305229.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Улица Суворова 49а",04.10.2023
Сборщик курьер,40 000 – 50 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/sborshik-kurjer-98304880.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Улица Демьяна Бедного 25",04.10.2023
Курьер,40 000 – 50 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/kurjer-98304826.html,в Хабаровске,"ООО ""Инстамарт Сервис"". Переулок Кадровый 8",04.10.2023
Водитель курьер,45 000 – 60 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/voditel-kurjer-98231169.html,в Хабаровске,"ООО ""Инстамарт Сервис""",04.10.2023
Курьер,40 000 – 55 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/kurjer-98230797.html,в Хабаровске,"ООО ""Инстамарт Сервис""",04.10.2023
Водитель курьер,35 000 – 55 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/voditel-kurjer-98094399.html,,"ООО ""Инстамарт Сервис"". Улица Борисенко 35",04.10.2023
Водитель курьер,55 000 – 70 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/voditel-kurjer-95350662.html,в Уссурийске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Краснознаменная 224а",04.10.2023
Водитель - курьер,от 45 000₽,https://www.farpost.ru/nakhodka/rabota/vacansii/voditel-kurjer-92834380.html,в Находке,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Спортивная 2",04.10.2023
Водитель - курьер,от 49 500₽,https://www.farpost.ru/komsomolsk-na-amure/rabota/vacansii/voditel-kurjer-92146184.html,в Комсомольске-на-Амуре,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Дикопольцева 29/6",04.10.2023
Водитель - курьер,от 33 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/voditel-kurjer-92145023.html,в Уссурийске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Краснознаменная 224а",04.10.2023
Водитель-сборщик,до 151 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/voditel-sborshik-106309547.html,,"ООО ""Инстамарт Сервис"". Улица Жигура 48б",04.10.2023
Сборщик заказов (подработка),до 58 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/sborshik-zakazov-podrabotka-112823942.html,,"ООО ""Инстамарт Сервис"". Проспект Океанский 52а",04.10.2023
Сборщик (Комплектовщик) заказов,33 000 – 55 000₽,https://www.farpost.ru/artem/rabota/vacansii/sborshik-komplektovshik-zakazov-90020495.html,в Артеме,"ООО ""Инстамарт Сервис"". Улица Фрунзе 2в",04.10.2023
Сборщик (Комплектовщик) заказов,35 000 – 55 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/sborshik-komplektovshik-zakazov-92130175.html,в Хабаровске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Суворова 25",04.10.2023
Сборщик заказов,35 000 – 55 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/sborshik-zakazov-95324202.html,,"ООО ""ИНСТАМАРТ СЕРВИС""",04.10.2023
Сборщик заказов,35 000 – 55 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/sborshik-zakazov-95325104.html,в Хабаровске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Шкотова 15",04.10.2023
Сборщик заказов,40 000 – 55 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/sborshik-zakazov-95350487.html,в Уссурийске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Краснознаменная 224а",04.10.2023
Сборщик заказов в Хабаровске,35 000 – 55 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/sborshik-zakazov-v-habarovske-97080476.html,в Хабаровске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Трёхгорная 98",04.10.2023
Сборщик продуктов,35 000 – 90 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/sborshik-produktov-97166347.html,в Хабаровске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Шкотова 15а",04.10.2023
Сборщик заказов в Хабаровске,35 000 – 55 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/sborshik-zakazov-v-habarovske-97478452.html,в Хабаровске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Краснореченская 90",04.10.2023
Сборщик заказов,35 000 – 55 000₽,https://www.farpost.ru/khabarovsk/rabota/vacansii/sborshik-zakazov-97478543.html,в Хабаровске,"ООО ""ИНСТАМАРТ СЕРВИС"". Улица Карла Маркса 202",04.10.2023
Сборщик продуктов,35 000 – 45 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/sborshik-produktov-98094179.html,,"ООО ""Инстамарт Сервис"". Улица Русская 2к",04.10.2023
"Повар (без опыта, без образования)",от 40 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/povar-bez-opyta-bez-obrazovanija-106744087.html?source=extended-feed,в Уссурийске,"... ""О персональных данных). ООО ВК Системс улица Некрасова 82б Бургер Кинг основан в Америке в 1954 году, он занимает второе по ...нас 3 ресторана. Приходи к нам и ЗАЖГИ КАРЬЕРУ в Burger King! Повар в Burger King Это реализация своих идей! Это скорость...ООО ВК Системс. Улица Некрасова 82б",04.10.2023
Кассир,от 40 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/kassir-106744125.html?source=extended-feed,в Уссурийске,"... ""О персональных данных) ООО ВК Системс улица Некрасова 82б Бургер Кинг основан в Америке в 1954 году, он занимает второе по ...по франшизе. Мы ждем именно тебя! ЗАЖГИ СВОЮ КАРЬЕРУ C BURGER KING! Ты принимаешь активное участие в жизни ресторана! Ты учишься мыслить...ООО ВК Системс. Улица Некрасова 82б",04.10.2023
Ночной уборщик,35 000 – 45 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/nochnoj-uborshik-106744120.html?source=extended-feed,в Уссурийске,"... ""О персональных данных) ООО ВК Системс улица Некрасова 82б Бургер Кинг основан в Америке в 1954 году, он занимает второе по ...ООО ВК Системс. Улица Некрасова 82б",04.10.2023
Уборщик,от 35 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/uborshik-106744104.html?source=extended-feed,в Уссурийске,"... ""О персональных данных) ООО ВК Системс улица Некрасова 82б Бургер Кинг основан в Америке в 1954 году, он занимает второе по ...ООО ВК Системс. Улица Некрасова 82б",04.10.2023
Охранник,от 30 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/ohrannik-85463729.html?source=extended-feed,в Уссурийске,"... ""О персональных данных) ООО ВК Системс улица Некрасова 82б Бургер Кинг основан в Америке в 1954 году, он занимает второе по ...ООО ВК Системс. Улица Некрасова 82б",04.10.2023
Менеджер ресторана,от 45 000₽,https://www.farpost.ru/ussuriisk/rabota/vacansii/menedzher-restorana-85851057.html?source=extended-feed,в Уссурийске,"... ""О персональных данных). ООО ВК Системс улица Некрасова 82б Бургер Кинг основан в Америке в 1954 году, он занимает второе по ...ООО ВК Системс. Улица Некрасова 82б",04.10.2023
Менеджер ресторана,до 50 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/menedzher-restorana-86019280.html,,ООО ВК Системс. Улица Семеновская 12,04.10.2023
Повар в ресторан Бургер Кинг,до 40 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/povar-v-restoran-burger-king-83980482.html,,ООО ВК Системс. Улица Светланская 56,04.10.2023
"Повар (без опыта, без образования)",от 30 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/povar-bez-opyta-bez-obrazovanija-38976005.html,,ООО ВК Системс. Улица Семеновская 12,04.10.2023
Ночной уборщик,,https://www.farpost.ru/vladivostok/rabota/vacansii/nochnoj-uborshik-84783710.html,,ООО ВК Системс. Улица Светланская 56,04.10.2023
Сотрудник кухни (без опыта),от 35 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/sotrudnik-kuhni-bez-opyta-86019383.html,,ООО ВК Системс. Улица Семеновская 12,04.10.2023
Специалист технической поддержки,от 50 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/specialist-tehnicheskoj-podderzhki-94424881.html,,"ООО РБ ""Системс"". Улица Батарейная 3а",04.10.2023
Менеджер по персоналу,от 40 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/menedzher-po-personalu-95514428.html,,"ООО РБ ""Системс"". Улица Батарейная 3а",04.10.2023
Администратор кафе,30 000 – 35 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/administrator-kafe-83574024.html,,ООО ВК Системс. Улица Семеновская 12,04.10.2023
"Повар (без опыта, без образования)",15 000 – 20 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/povar-bez-opyta-bez-obrazovanija-80967128.html,,ООО ВК Системс. Улица Семеновская 12,04.10.2023
Администратор ресторана,32 000 – 38 000₽,https://www.farpost.ru/vladivostok/rabota/vacansii/administrator-restorana-37435131.html,,ООО ВК СИСТЕМС. Улица Светланская 56,04.10.2023
