Job Title,Salary,Link,City,Scrape Time
Сборщик комплектовщик заказов на складе,60 000 — 90 000 ₽,https://www.avito.ru/sankt-peterburg/vakansii/sborschik_komplektovschik_zakazov_na_sklade_3286420661,"Ленинградская область, Ломоносовский р-н, Виллозское городское поселение",28.09.2023
"Менеджер-стажер в ресторан ""Вкусно – и точка""",от 54 000 ₽,https://www.avito.ru/sankt-peterburg/vakansii/menedzher-stazher_v_restoran_vkusno_i_tochka_2872912700,Санкт-Петербург,28.09.2023
Мастер чистоты ресторана KFC,до 30 000 ₽,https://www.avito.ru/mahachkala/vakansii/master_chistoty_restorana_kfc_2134629839,"Республика Дагестан, Махачкала",28.09.2023
Сотрудник в цех по производству теста,60 000 — 70 000 ₽,https://www.avito.ru/ekaterinburg/vakansii/sotrudnik_v_tseh_po_proizvodstvu_testa_3429244531,"Свердловская область, Екатеринбург",28.09.2023
"Работник кухни (трц ""Сибирский молл"")",от 38 300 ₽,https://www.avito.ru/novosibirsk/vakansii/rabotnik_kuhni_trts_sibirskiy_moll_3312629202,"Новосибирская область, Новосибирск",28.09.2023
Мойщица/ уборщица в ресторан доставки,от 2 100 ₽ за смену,https://www.avito.ru/perm/vakansii/moyschitsa_uborschitsa_v_restoran_dostavki_3428607370,"Пермский край, Пермь",28.09.2023
"Сотрудник предприятия ""Вкусно - и точка""",до 45 000 ₽,https://www.avito.ru/ufa/vakansii/sotrudnik_predpriyatiya_vkusno_-_i_tochka_3364033329,"Республика Башкортостан, Уфа",28.09.2023
Комплектовщик заказов,60 000 — 90 000 ₽,https://www.avito.ru/sankt-peterburg/vakansii/komplektovschik_zakazov_3286352241,"Ленинградская область, Ломоносовский р-н, Виллозское городское поселение",28.09.2023
Работник кухни (г. Бердск),от 38 300 ₽,https://www.avito.ru/berdsk/vakansii/rabotnik_kuhni_g._berdsk_3344556307,"Новосибирская область, Бердск",28.09.2023
"Сотрудник предприятия ""Вкусно - и точка""",до 45 000 ₽,https://www.avito.ru/ufa/vakansii/sotrudnik_predpriyatiya_vkusno_-_i_tochka_3364195585,"Республика Башкортостан, Уфа",28.09.2023
Кассир в ночь (м.Речной вокзал),от 38 300 ₽,https://www.avito.ru/novosibirsk/vakansii/kassir_v_noch_m.rechnoy_vokzal_3119808361,"Новосибирская область, Новосибирск",28.09.2023
Подработка. Без опыта,до 45 000 ₽,https://www.avito.ru/ufa/vakansii/podrabotka._bez_opyta_3363831179,"Республика Башкортостан, Уфа",28.09.2023
Сотрудник ресторана кфс,до 2 600 ₽ за смену,https://www.avito.ru/stavropol/vakansii/sotrudnik_restorana_kfs_3275652265,"Ставропольский край, Ставрополь",28.09.2023
"Сотрудник предприятия ""Вкусно - и точка""",до 45 000 ₽,https://www.avito.ru/ufa/vakansii/sotrudnik_predpriyatiya_vkusno_-_i_tochka_3363975280,"Республика Башкортостан, Уфа",28.09.2023
"Сотрудник предприятия ""Вкусно - и точка""",до 40 000 ₽,https://www.avito.ru/naberezhnye_chelny/vakansii/sotrudnik_predpriyatiya_vkusno_-_i_tochka_3364578923,"Республика Татарстан, Набережные Челны",28.09.2023
Работник предприятия быстрого обслуживания,до 51 500 ₽,https://www.avito.ru/sankt-peterburg/vakansii/rabotnik_predpriyatiya_bystrogo_obsluzhivaniya_2606632972,Санкт-Петербург,28.09.2023
Кассир подработка,до 45 000 ₽,https://www.avito.ru/ekaterinburg/vakansii/kassir_podrabotka_3460161839,"Свердловская область, Екатеринбург",28.09.2023
Продавец-повар,до 38 000 ₽,https://www.avito.ru/neftekamsk/vakansii/prodavets-povar_3395923138,"Республика Башкортостан, Нефтекамск",28.09.2023
Официант на подработку,до 40 000 ₽,https://www.avito.ru/nizhnekamsk/vakansii/ofitsiant_na_podrabotku_3459872690,"Республика Татарстан, Нижнекамский р-н, муниципальное образование Нижнекамск, Нижнекамск",28.09.2023
Продавец-официант,до 45 000 ₽,https://www.avito.ru/ufa/vakansii/prodavets-ofitsiant_3395976507,"Республика Башкортостан, Уфа",28.09.2023
Работа в Бургер Кинг/ Без опыта/ Подработка/ Вахты,220 — 230 ₽ в час,https://www.avito.ru/podolsk/vakansii/rabota_v_burger_king_bez_opyta_podrabotka_vahty_3363724103,"Московская область, Подольск",28.09.2023
Кассир (вахта),110 000 — 170 977 ₽,https://www.avito.ru/ulyanovsk/vakansii/kassir_vahta_3409946168,"Ульяновская область, г.о. Ульяновск",28.09.2023
Повар,от 47 000 ₽,https://www.avito.ru/saransk/vakansii/povar_3299455634,"Республика Мордовия, Саранск",28.09.2023
Администратор смены/Менеджер смены (сотрудник),40 500 — 81 000 ₽,https://www.avito.ru/stavropol/vakansii/administrator_smenymenedzher_smeny_sotrudnik_3513838814,"Ставропольский край, Ставрополь",28.09.2023
Работник производства пиццы,до 53 000 ₽,https://www.avito.ru/krasnoyarsk/vakansii/rabotnik_proizvodstva_pitstsy_3007668540,"Красноярский край, Красноярск",28.09.2023
Кладовщик на производство,65 000 ₽,https://www.avito.ru/naro-fominsk/vakansii/kladovschik_na_proizvodstvo_3185524505,"Московская область, Наро-Фоминский г.о., Наро-Фоминск",28.09.2023
Повар-кассир,до 38 000 ₽,https://www.avito.ru/magnitogorsk/vakansii/povar-kassir_3460168469,"Челябинская область, Магнитогорск",28.09.2023
Менеджер ресторана,55 000 — 114 000 ₽,https://www.avito.ru/sankt-peterburg/vakansii/menedzher_restorana_2937722578,Санкт-Петербург,28.09.2023
