id,name,description
71903363,Менеджер смены ресторана,"<p>Компания БУРГЕР КИНГ РОССИЯ приглашает в команду <strong>Менеджера смены ресторана</strong>.</p> <p><strong>Немного о нас:</strong></p> <p>BURGER KING – компания с мировым именем, начиная с 1954 года. Сегодня в России открыто более 700 ресторанов и, поверьте, это только начало!</p> <p>Присоединяйся к нам на вакансию в ресторан: с тебя – твои таланты и вовлеченность, с нас – отличные возможности проявить себя!</p> <p><strong>МЫ СТРОИМ КАРЬЕРУ СО ВКУСОМ, МЫ ЖИВЕМ С ОГНЕМ В СЕРДЦЕ!</strong></p> <p><strong>У тебя есть:</strong></p> <ul> <li>Опыт управления коллективом - <strong>(сфера fast food</strong><strong>) </strong>мы проведём стажировку - поможем адаптировать твой опыт, к нашему формату работы ;</li> <li>Имеешь отличные коммуникативные навыки (мы много общаемся друг с другом и гостями);</li> <li>Умеешь доносить свои мысли до сотрудников, чтобы те понимали и действовали (welcome :)) <strong>Это все о тебе? Тогда давай к нам!</strong></li> </ul> <p><strong>Тебе предстоит решать следующие задачи:</strong></p> <ul> <li>Организация работы ресторана (управление сменой);</li> <li>Контроль соблюдения технологических процессов;</li> <li>Контроль соблюдения стандартов компании и санитарных норм.</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Быть уверенным в завтрашнем дне: оформление по ТК РФ, «белая» заработная плата от + ежемесячный бонус;</li> <li>Оплачиваемую стажировку;</li> <li>Работать рядом с домом по графику: 5/2 (смены 8 часов: утро/вечер), выходные плавающие;</li> <li>Вкусное питание из меню ресторана за счет компании;</li> <li>Внутренние тренинги, обучающие платформы для развития hard skills;</li> <li>Неограниченный доступ к обучающим программам Eduson, которые помогут прокачать soft skills;</li> <li>Возможность построить карьеру мечты – с нами карьера это не сложно, а интересно и увлекательно :)</li> </ul> <p><em><strong>ПОЛУЧАЙ УДОВОЛЬСТВИЕ ОТ СВОЕЙ РАБОТЫ ВМЕСТЕ С НАМИ!</strong></em></p>"
72300549,Повар-пекарь,"<p>Компания <strong>ВкусВилл</strong>специализируется на продаже натуральных продуктов для здорового питания. Наши магазины <strong>ВкусВилл</strong> работают для тех, кто знает толк в качественных продуктах и верит, что в России можно вести честный бизнес.</p> <p><strong><em>Работа на территории закрытого от покупателей интернет-магазина складского типа (даркстор).</em></strong></p> <p><strong>Обязанности:</strong></p> <ul> <li>Работа с онлайн-доставкой (без взаимодействия с покупателями);</li> <li>Приготовление и упаковка блюд;</li> <li>Доготовка хлебобулочных изделий;</li> <li>Контроль сроков годности, остатков товаров;</li> <li>Взаимодействие с компьютером (приём и выдача заказов);</li> <li>Содержание рабочего места в чистоте.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Сменный график работы (2/2);</li> <li> <p>Оплата: от 287 руб./час (до вычета налога);</p> </li> <li> <p>Возможность выхода на дополнительные смены;</p> </li> <li>Оформление по ТК РФ.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Знание норм и правил санитарии и личной гигиены;</li> <li>Знание технологии и последовательности приготовления.</li> </ul> <p><strong>Наши преимущества:</strong></p> <ul> <li> <p>Оплачиваемая стажировка;</p> </li> <li> <p>Стабильные выплаты заработной платы 2 раза в месяц;</p> </li> <li> <p>Доплаты за выход в праздничные дни;</p> </li> <li> <p>Отсутствие системы штрафов;</p> </li> <li> <p>Предоставление питания;</p> </li> <li> <p>Бесплатная униформа, медицинская книжка;</p> </li> <li> <p>Премии за трудоустройство друзей в компанию;</p> </li> <li> <p>Повышенный кэшбек на карту лояльности &quot;ВкусВилл&quot;;</p> </li> <li> <p>Начисление бонусов на день рождения, свадьбу, рождение детей;</p> </li> <li> <p>Частичная компенсация фитнеса, обуви, термобелья;</p> </li> <li> <p>Рассмотрение кандидатов без опыта работы.</p> </li> </ul> <p><strong>Приветствуется аналогичный опыт работы в сетевых компаниях:</strong> Пятерочка, Перекресток, euro spar, Азбука вкуса, Лента, Ашан, Хлебник, Теремок, Макдональдс, КФС, Бургер Кинг, ДоДо пицца, Буше, Лавка пекаря и других сетях.</p> <p><em><strong>По вопросам о вакансии и для записи на собеседование звоните на наш короткий номер *7707</strong></em></p> <p><em><strong>Будем рады видеть Вас частью нашей дружной команды!</strong></em></p>"
,,
,,
,,
,,
,,
73730157,Горничная в отели (г Сочи),"Для работы в отелях на побережье Черного моря требуются горничные!<br />Для своих сотрудников предоставляем питание и проживание на время работы БЕСПЛАТНО!<br />Рассмотрим сотрудников без опыта работы.<br />Оказываем помощь в оформлении мед книжки на льготных условиях для сотрудников.<br />ВАКАНСИИ ОТКРЫТЫ НА ПОСТОЯННУЮ И СЕЗОННУЮ РАБОТУ!<br /><br />Обязанности:<br /><br />Горничная номерного фонда убирает только номера отеля. В уборку отеля не входит глажение белья и стирка. Норма для горничной 12-16 номеров. Есть вакансии в отелях со сдельной и почасовой оплатой, то есть зарплата горничной может складываться либо от количества отмытых номеров или от часов по факту отработанных в отеле.<br /><br />В обязанности горничной входит:<br /><br />- замена постельного белья и полотенец.<br />- замена косметических средств.<br />- уборка сан узлов и ванных или душевых комнат.<br />- уборка поверхностей пола (плитка или ковролин)<br />В КАЖДОМ ОТЕЛЕ РАЗНЫЙ ДИЗАЙН НОМЕРОВ.<br />- уборка балконов если они есть в номере.<br />- вежливое общение с гостями отеля .<br />- желание работать и зарабатывать!<br /><br />Условия:<br /><br />Независимо от должности и отеля каждому сотруднику которому требуется проживание на время работы мы его предоставляем. В каждом отеле разные общежития. Расселение по Красной поляне в общежитиях 2-3-4 человека в номере в зависимости от квадратуры комнаты. В Сочи проживание 5-6 человек предоставляются хостелы.<br /><br />- Жилье и питание предоставляется бесплатно в рабочие смены обеды и ужины.<br />- Выплаты зарплаты два раза в месяц стабильно без задержек по 15-м и 30-м числам.<br />- Производим компенсацию на затраты авиа и жд билетов. После трех месяцев работы в компании.<br />- Открыто большое количество подработок для увеличения дохода!<br /><br />На собеседование можно прийти без предварительной записи по адресу:<br />Остановка ЖД вокзал Сочи, ул Навагинская 15 корп 9. Ориентир Макдональс и Бургер Кинг.<br />Спросить Ревекку."
,,
,,
