vacancy,skill
85949090,Деловое общение
85949090,Деловая коммуникация
85949090,Доброжелательность
85949090,Навыки продаж
85949090,Работа в команде
85949090,Обучение и развитие
85949090,amoCRM
85949090,Корпоративные продажи
85949090,Деловая этика
85949090,Подготовка коммерческих предложений
85955378,HoReCa
85955378,Общественное питание
85955378,Кассовые операции
85955378,Активные продажи
85955378,Обслуживание покупателей
85955378,Обучение персонала
85966744,Работа в команде
85966744,Пользователь ПК
85966744,Прямые продажи
85966744,Активные продажи
85966744,Умение работать в команде
85966853,Работа в команде
85966853,Пользователь ПК
85966853,Прямые продажи
85966853,Активные продажи
85966853,Умение работать в команде
85966961,Работа в команде
85966961,Пользователь ПК
85966961,Прямые продажи
85966961,Активные продажи
85966961,Умение работать в команде
85967883,Складская логистика
85967883,Кладовщик
85967883,сортировка товара
85967883,сборка товара
85967883,упаковка товара
85974028,Грамотная речь
85974028,Обслуживание покупателей
85974028,Навыки продаж
85974028,Выкладка товаров
85974028,Работа в команде
85974028,Консультирование
85974028,Прямые продажи
85974028,Работа с людьми
85974028,Консультирование клиентов
85974028,Способность быстро обучаться
85974028,Internet
85974028,Управление продажами
86008450,Грамотная речь
86013101,Грамотная речь
86051442,Работа в команде
86051442,Навыки продаж
86051442,Обучение и развитие
86103980,Комплектация
86103980,Работа в команде
86103980,Грамотная речь
86103980,Работа с большим объемом информации
86103980,Точность и внимательность к деталям
86104019,Комплектация
86104019,Работа в команде
86104019,Грамотная речь
86104019,Работа с большим объемом информации
86104019,Точность и внимательность к деталям
86139783,Пользователь ПК
86139783,Грамотная речь
86139783,Работа в команде
86139783,Поиск информации в интернет
86139783,Работа с большим объемом информации
86139783,Умение работать в команде
86139783,Умение принимать решения
86139783,Грамотность
86155259,Комплектация
86155259,Работа в команде
86155259,Грамотная речь
86155259,Работа с большим объемом информации
86155259,Точность и внимательность к деталям
86155262,Комплектация
86155262,Работа в команде
86155262,Грамотная речь
86155262,Работа с большим объемом информации
86155262,Точность и внимательность к деталям
86184803,Пользователь ПК
86184803,Грамотная речь
86208946,Грамотная речь
86236315,Активные продажи
86236315,Телефонные переговоры
86236315,Обучаемость
86251474,Работа в команде
86251474,Пользователь ПК
86251474,Прямые продажи
86251474,Активные продажи
86251474,Умение работать в команде
86258117,без опыта
86259208,Грамотная речь
86263189,Работа в команде
86263189,Навыки продаж
86263189,Обучение и развитие
86277677,Работа в команде
86277677,Навыки продаж
86277677,Обучение и развитие
86278048,Обучение и развитие
86278048,Контроль качества
86278048,Управление командой
86311439,Желание работать и зарабатывать
86312521,Желание работать и зарабатывать
86312647,Желание работать и зарабатывать
86314409,Работа в команде
86314409,Пользователь ПК
86314409,Прямые продажи
86314409,Активные продажи
86314409,Умение работать в команде
86320079,Обучение персонала
86320079,R-Keeper
86320079,Ресторанный менеджмент
86320079,Общественное питание
86320079,Управление продажами
86320079,Обучение и развитие
86320079,Руководство коллективом
86320121,Работа в команде
86320121,Грамотная речь
86382862,Комплектация
86382862,Работа в команде
86382862,Грамотная речь
